,r_usdcad,vol_usdcad_4w,vol_usdcad_8w,r_wti,vol_wti_4w,vol_wti_8w,spread_2y,spread_10y,d_spread_2y,vix,d_vix,r_equity,y_1w
r_usdcad,1.0,0.061,0.052,-0.377,0.026,0.003,0.011,-0.013,-0.323,0.172,0.413,-0.453,-0.017
vol_usdcad_4w,0.061,1.0,0.836,-0.057,0.313,0.276,0.23,0.281,-0.041,0.55,-0.043,-0.038,0.001
vol_usdcad_8w,0.052,0.836,1.0,-0.061,0.383,0.392,0.273,0.361,-0.035,0.629,-0.046,-0.05,0.007
r_wti,-0.377,-0.057,-0.061,1.0,-0.011,0.046,-0.006,0.009,0.078,-0.159,-0.295,0.221,-0.014
vol_wti_4w,0.026,0.313,0.383,-0.011,1.0,0.849,-0.027,0.121,-0.053,0.477,-0.101,0.023,-0.004
vol_wti_8w,0.003,0.276,0.392,0.046,0.849,1.0,-0.029,0.141,-0.034,0.499,-0.095,0.025,-0.026
spread_2y,0.011,0.23,0.273,-0.006,-0.027,-0.029,1.0,0.839,0.064,0.259,0.007,-0.023,0.049
spread_10y,-0.013,0.281,0.361,0.009,0.121,0.141,0.839,1.0,0.054,0.378,-0.002,-0.032,0.004
d_spread_2y,-0.323,-0.041,-0.035,0.078,-0.053,-0.034,0.064,0.054,1.0,-0.016,0.028,-0.036,-0.019
vix,0.172,0.55,0.629,-0.159,0.477,0.499,0.259,0.378,-0.016,1.0,0.2,-0.269,0.006
d_vix,0.413,-0.043,-0.046,-0.295,-0.101,-0.095,0.007,-0.002,0.028,0.2,1.0,-0.756,0.047
r_equity,-0.453,-0.038,-0.05,0.221,0.023,0.025,-0.023,-0.032,-0.036,-0.269,-0.756,1.0,-0.034
y_1w,-0.017,0.001,0.007,-0.014,-0.004,-0.026,0.049,0.004,-0.019,0.006,0.047,-0.034,1.0
