candidate_id,model,feature_set,params,validation_start,validation_end,n_validation,threshold,balanced_accuracy,brier_score,log_loss,probability_std,selected
7,ElasticNet,core,"{""C"": 0.003, ""l1_ratio"": 0.75}",2017-01-06,2019-12-27,156,0.49,0.5384615384615384,0.2496431089798915,0.6924378343194777,0.012564329387238237,True
36,ElasticNet,extended,"{""C"": 0.003, ""l1_ratio"": 0.75}",2017-01-06,2019-12-27,156,0.495,0.532051282051282,0.24969374016854118,0.6925363737731752,0.008805506716526272,False
6,ElasticNet,core,"{""C"": 0.003, ""l1_ratio"": 0.5}",2017-01-06,2019-12-27,156,0.495,0.5512820512820513,0.2497709478797034,0.692698794523972,0.009769610447289908,False
5,ElasticNet,core,"{""C"": 0.003, ""l1_ratio"": 0.25}",2017-01-06,2019-12-27,156,0.48,0.5384615384615384,0.24997850550206985,0.6931041186928383,0.004834879909188004,False
35,ElasticNet,extended,"{""C"": 0.003, ""l1_ratio"": 0.5}",2017-01-06,2019-12-27,156,0.495,0.5192307692307693,0.2500606543038664,0.6932710621864018,0.007165589024858074,False
10,ElasticNet,core,"{""C"": 0.01, ""l1_ratio"": 0.75}",2017-01-06,2019-12-27,156,0.48,0.5384615384615384,0.2500785444545085,0.6933044404022112,0.004710642959632037,False
39,ElasticNet,extended,"{""C"": 0.01, ""l1_ratio"": 0.75}",2017-01-06,2019-12-27,156,0.49,0.5192307692307693,0.2502818618526285,0.693712066461768,0.004711114813436265,False
34,ElasticNet,extended,"{""C"": 0.003, ""l1_ratio"": 0.25}",2017-01-06,2019-12-27,156,0.485,0.5192307692307693,0.2503582674261162,0.6938650424614278,0.0047442016200432615,False
38,ElasticNet,extended,"{""C"": 0.01, ""l1_ratio"": 0.5}",2017-01-06,2019-12-27,156,0.49,0.5064102564102564,0.2504819309853806,0.6941121337004353,0.0035354904432501767,False
9,ElasticNet,core,"{""C"": 0.01, ""l1_ratio"": 0.5}",2017-01-06,2019-12-27,156,0.48,0.5256410256410257,0.25060385096173615,0.6943558233795118,0.00368913261700167,False
13,ElasticNet,core,"{""C"": 0.03, ""l1_ratio"": 0.75}",2017-01-06,2019-12-27,156,0.5,0.5,0.25061141837222267,0.6943711259436165,0.0033704354779967483,False
8,ElasticNet,core,"{""C"": 0.01, ""l1_ratio"": 0.25}",2017-01-06,2019-12-27,156,0.5,0.5,0.25061181887749157,0.6943718630547431,0.003219256153566929,False
37,ElasticNet,extended,"{""C"": 0.01, ""l1_ratio"": 0.25}",2017-01-06,2019-12-27,156,0.5,0.5,0.2507101526293036,0.6945691542592173,0.003802413557691942,False
42,ElasticNet,extended,"{""C"": 0.03, ""l1_ratio"": 0.75}",2017-01-06,2019-12-27,156,0.5,0.5,0.2507487157723931,0.6946464887885136,0.0040978162838921075,False
12,ElasticNet,core,"{""C"": 0.03, ""l1_ratio"": 0.5}",2017-01-06,2019-12-27,156,0.5,0.5,0.2516903325544122,0.696538899689051,0.009656933148494286,False
41,ElasticNet,extended,"{""C"": 0.03, ""l1_ratio"": 0.5}",2017-01-06,2019-12-27,156,0.5,0.5,0.25181695159110656,0.6967926025755509,0.009135755845931725,False
11,ElasticNet,core,"{""C"": 0.03, ""l1_ratio"": 0.25}",2017-01-06,2019-12-27,156,0.495,0.5128205128205129,0.2533284528009531,0.6998630701076184,0.017385274083355228,False
40,ElasticNet,extended,"{""C"": 0.03, ""l1_ratio"": 0.25}",2017-01-06,2019-12-27,156,0.5,0.5,0.25392000121711417,0.7010522359948634,0.017434105103067813,False
16,ElasticNet,core,"{""C"": 0.1, ""l1_ratio"": 0.75}",2017-01-06,2019-12-27,156,0.5,0.5128205128205128,0.2540221208544185,0.7012854774089345,0.020585270345227943,False
15,ElasticNet,core,"{""C"": 0.1, ""l1_ratio"": 0.5}",2017-01-06,2019-12-27,156,0.5,0.5192307692307693,0.25481754856602423,0.7029159734925019,0.023117045557383892,False
45,ElasticNet,extended,"{""C"": 0.1, ""l1_ratio"": 0.75}",2017-01-06,2019-12-27,156,0.48,0.5064102564102564,0.2549092714653345,0.7030740561722607,0.021758302454744163,False
14,ElasticNet,core,"{""C"": 0.1, ""l1_ratio"": 0.25}",2017-01-06,2019-12-27,156,0.505,0.5128205128205128,0.25562711654566295,0.7045831287094136,0.02572008890276398,False
19,ElasticNet,core,"{""C"": 0.3, ""l1_ratio"": 0.75}",2017-01-06,2019-12-27,156,0.505,0.5192307692307693,0.2558676016160816,0.7050848869522273,0.02670456049200918,False
18,ElasticNet,core,"{""C"": 0.3, ""l1_ratio"": 0.5}",2017-01-06,2019-12-27,156,0.505,0.5128205128205129,0.2560891913462159,0.7055455201664456,0.02757737714774657,False
44,ElasticNet,extended,"{""C"": 0.1, ""l1_ratio"": 0.5}",2017-01-06,2019-12-27,156,0.49,0.5128205128205128,0.2561053810600902,0.7055326894730751,0.027278420652482545,False
17,ElasticNet,core,"{""C"": 0.3, ""l1_ratio"": 0.25}",2017-01-06,2019-12-27,156,0.505,0.5128205128205129,0.25628615168221586,0.7059584177131223,0.028508527022386067,False
22,ElasticNet,core,"{""C"": 1.0, ""l1_ratio"": 0.75}",2017-01-06,2019-12-27,156,0.505,0.5128205128205129,0.2564011075808647,0.7061999019846231,0.028988515306610358,False
21,ElasticNet,core,"{""C"": 1.0, ""l1_ratio"": 0.5}",2017-01-06,2019-12-27,156,0.505,0.5128205128205129,0.25646448256038507,0.7063333268124249,0.029292110062398336,False
20,ElasticNet,core,"{""C"": 1.0, ""l1_ratio"": 0.25}",2017-01-06,2019-12-27,156,0.505,0.5128205128205129,0.2565351900222889,0.7064818028101677,0.029596237608097722,False
43,ElasticNet,extended,"{""C"": 0.1, ""l1_ratio"": 0.25}",2017-01-06,2019-12-27,156,0.49,0.5128205128205128,0.25763323382020414,0.7086943860793607,0.033591472534821094,False
