horizon,model,threshold,true_direction,predicted_direction,count
1w,HistoricalBaseRate,0.5,down,down,166
1w,HistoricalBaseRate,0.5,down,up,0
1w,HistoricalBaseRate,0.5,up,down,163
1w,HistoricalBaseRate,0.5,up,up,0
1w,Logistic,0.5,down,down,141
1w,Logistic,0.5,down,up,25
1w,Logistic,0.5,up,down,125
1w,Logistic,0.5,up,up,38
1w,ElasticNet,0.5,down,down,142
1w,ElasticNet,0.5,down,up,24
1w,ElasticNet,0.5,up,down,125
1w,ElasticNet,0.5,up,up,38
1w,XGBoost,0.5,down,down,116
1w,XGBoost,0.5,down,up,50
1w,XGBoost,0.5,up,down,105
1w,XGBoost,0.5,up,up,58
4w,HistoricalBaseRate,0.5,down,down,150
4w,HistoricalBaseRate,0.5,down,up,9
4w,HistoricalBaseRate,0.5,up,down,165
4w,HistoricalBaseRate,0.5,up,up,2
4w,Logistic,0.5,down,down,129
4w,Logistic,0.5,down,up,30
4w,Logistic,0.5,up,down,127
4w,Logistic,0.5,up,up,40
4w,ElasticNet,0.5,down,down,129
4w,ElasticNet,0.5,down,up,30
4w,ElasticNet,0.5,up,down,126
4w,ElasticNet,0.5,up,up,41
4w,XGBoost,0.5,down,down,93
4w,XGBoost,0.5,down,up,66
4w,XGBoost,0.5,up,down,91
4w,XGBoost,0.5,up,up,76
