horizon,beta,se,ci_lo,ci_hi
0,-0.04948589373940379,0.006016463635638851,-0.06127816246525594,-0.03769362501355164
1,-0.0025237112291731398,0.006243975968042289,-0.014761904126536027,0.009714481668189747
2,0.003227767632573605,0.0055144990744097405,-0.007580650553269486,0.014036185818416695
3,0.0027394759359422676,0.007452616648632467,-0.011867652695377366,0.017346604567261902
4,0.002167325702467926,0.004323033179536957,-0.00630581932942451,0.010640470734360363
5,0.0011406414230150732,0.005090008239957678,-0.008835774727301975,0.011117057573332123
6,0.00043893099195308003,0.006054402134922305,-0.011427697192494637,0.012305559176400796
7,0.003755899879294355,0.007510744478408727,-0.010965159298386751,0.01847695905697546
8,-0.008351730503427725,0.0053501616565005605,-0.01883804735016882,0.0021345863433133733
9,0.005898766149800889,0.006513414332722521,-0.006867525942335252,0.01866505824193703
10,0.0006710002831829954,0.005215322011706738,-0.00955103085976221,0.010893031426128201
11,-0.0014262107089087388,0.006616675296185893,-0.01439489428943309,0.011542472871615611
12,0.0012582964066933729,0.005188685817700601,-0.008911527795999805,0.01142812060938655
