horizon,beta,se,ci_lo,ci_hi
0,0.0014655939745165994,0.0002353269186927923,0.0010043532138787265,0.0019268347351544723
1,0.00018808191941201884,0.00014455494350536254,-9.524576985849172e-05,0.0004714096086825294
2,0.00018441278545144708,0.00018552488033992198,-0.0001792159800148,0.0005480415509176941
3,3.0319033196187558e-05,0.00013574925904502274,-0.00023574951453205698,0.0002963875809244321
4,5.524743236998065e-05,0.00012142169920131802,-0.00018273909806460268,0.00029323396280456394
5,-2.7420917774405557e-05,0.00012961859329261102,-0.00028147336062792316,0.00022663152507911203
6,0.00020791858772812284,0.00017977541905457876,-0.00014444123361885154,0.0005602784090750972
7,-0.00013533644636862067,0.00011870249761644339,-0.0003679933416968497,9.732044895960836e-05
8,0.0003019783144977401,0.00012525988750158317,5.6468934994637055e-05,0.000547487694000843
9,-9.913451780850056e-05,0.00013335813287568423,-0.00036051645824484166,0.00016224742262784051
10,-0.00025641172321797645,0.00010239968313507811,-0.0004571151021627296,-5.570834427322336e-05
11,-0.0001229359825308539,0.00013265352524542888,-0.0003829368920118945,0.0001370649269501867
12,-9.016241963227714e-05,0.0001006433021164815,-0.0002874232917805809,0.0001070984525160266
