horizon,beta,se,ci_lo,ci_hi
0,-0.07562947324619775,0.015302316615425892,-0.1056220138124325,-0.045636932679962994
1,-0.0027129252989146245,0.007996263382238437,-0.01838560152810196,0.012959750930272712
2,-0.0016194557446752834,0.00680090941522531,-0.01494923819851689,0.011710326709166323
3,0.0004414876839519871,0.006576870357372433,-0.012449178216497981,0.013332153584401957
4,-0.0008729706192736151,0.007425477027367447,-0.015426905592913811,0.01368096435436658
5,0.0006117477687520784,0.006307158619357484,-0.011750283125188589,0.012973778662692746
6,-0.008322087390131579,0.00917541059498354,-0.026305892156299318,0.00966171737603616
7,-0.0041091332351242665,0.0062753114723792325,-0.01640874372098756,0.008190477250739028
8,-0.009891223058507315,0.00554947107306909,-0.02076818636172273,0.0009857402447081016
9,-9.274709615256335e-05,0.00777943343632884,-0.01534043663135709,0.015154942439051963
10,0.005331881662449686,0.007030906815292686,-0.008448695695523978,0.01911245902042335
11,-0.004898347038591884,0.008188664801128261,-0.020948130048803276,0.011151435971619508
12,0.0009842225920646162,0.005354596624841248,-0.00951078679262423,0.011479231976753462
