,count,mean,std,min,25%,50%,75%,max
r_usdcad,1103.0,0.0001,0.0118,-0.0464,-0.0068,-0.0002,0.0063,0.0956
vol_usdcad_4w,1103.0,0.0099,0.0067,0.0007,0.0057,0.0086,0.0121,0.067
vol_usdcad_8w,1103.0,0.0104,0.0058,0.0023,0.0069,0.0092,0.0122,0.054
r_wti,1103.0,0.0005,0.0591,-0.4876,-0.0254,0.0039,0.0291,0.6054
vol_wti_4w,1103.0,0.045,0.0387,0.0055,0.0246,0.0372,0.054,0.4796
vol_wti_8w,1103.0,0.0475,0.0342,0.007,0.0305,0.0395,0.0555,0.3502
spread_2y,1103.0,-0.0273,0.6436,-1.6,-0.55,-0.04,0.565,1.2
spread_10y,1103.0,-0.3633,0.3544,-1.51,-0.635,-0.32,-0.09,0.68
d_spread_2y,1103.0,-0.0003,0.0769,-0.37,-0.04,0.0,0.04,0.41
vix,1103.0,19.0498,8.627,9.14,13.34,16.69,21.99,79.13
d_vix,1103.0,0.0054,3.4689,-19.24,-1.465,-0.16,1.27,24.81
r_equity,1103.0,0.0022,0.0276,-0.166,-0.012,0.0039,0.0184,0.1037
y_1w,1103.0,0.0001,0.0118,-0.0464,-0.0068,-0.0002,0.0063,0.0956
